Employee Names,Base allowance,Carry over,Total allowance,,Absence count,Remaining allowance,,Holiday,Half Day (morning),Half Day (afternoon),Quarter day,Custom deductible,Sickness,Maternity/Paternity,Time off In Lieu,Work from home,Bank holiday,Compassionate,Custom non-deductible
Employee 1,20,10,30,,14,16,,3,5,2,14,4,11,8,18,40,5,9,31
Employee 2,16,4,20,,12,8,,4,3,0,10,4,9,8,8,40,5,9,29
Employee 3,36,2,38,,12.25,25.75,,4,2,3,7,4,13,8,8,40,5,9,32
Employee 4,24,32,56,,12,44,,3,2,3,10,4,7,8,8,40,5,9,30
Employee 5,40,12,52,,14.25,37.75,,4,2,3,15,4,7,6,8,40,5,9,31
Employee 6,20,20,40,,14.75,25.25,,6,4,2,7,4,8,7,8,41,5,9,27
Employee 7,15,15,30,,14.25,15.75,,4,4,8,5,3,9,7,8,41,5,9,33
Employee 8,60,-20,40,,12.25,27.75,,3,2,1,15,4,7,7,8,41,5,9,30
Employee 9,63,-16,47,,13.75,33.25,,2,5,4,13,4,9,5,8,41,5,9,32
Employee 10,36,12,48,,13.75,34.25,,7,2,0,7,4,11,7,8,41,5,9,33
